% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:40
% Dimension:          2
% Nodes:              4256
% Expressions:        7
% Description:        Temperature
% Length unit:        m
% x                       y                        T (K) @ Ra=1             T (K) @ Ra=10            T (K) @ Ra=100           T (K) @ Ra=1000          T (K) @ Ra=10000         T (K) @ Ra=1E5           T (K) @ Ra=1E6
0.1995748215340426        0                        0.19948717161706878      0.19870008045898532      0.19101414853140722      0.13725927566507629      0.10595190928376023      0.11532292665542236      0.12377141253256944
0                         0.3400000000000001       0                        0                        0                        0                        0                        0                        0
0.009111919099180384      0.3354527903533722       0.009109537907582522     0.009088236358831143     0.008888241497273132     0.008120024210195724     0.014311136764463972     0.029884509233381974     0.05519550513180597
0                         0.35000000000000014      0                        0                        0                        0                        0                        0                        0
0.008941170170809596      0.34533807204032435      0.00893895624693941      0.008919158236928479     0.008733995641837395     0.008083827314808152     0.014492039345772036     0.030101332291719272     0.055380582432372476
0                         0.4100000000000001       0                        0                        0                        0                        0                        0                        0
0                         0.40000000000000013      0                        0                        0                        0                        0                        0                        0
0.009184114811324204      0.40562221367897466      0.009182672749799505     0.009169827630585227     0.009054713237892814     0.009079280195619386     0.01773099215946577      0.03564311688588592      0.06429385851508333
0.20956497406069796       0.016197621501577237     0.20947325061926578      0.2086495463147233       0.20060292389075443      0.14413888970082453      0.11058730001439233      0.119721803765188        0.12784038372632803
0.2196031667651065        0                        0.21950758504846188      0.21864918151687718      0.2102587291167176       0.15108960444098718      0.11486469729423292      0.12309764942853187      0.12957619736006426
0.2296063234172818        0.01620089237485068      0.22950680477608457      0.22861300389683767      0.2198726912440875       0.15800701623535354      0.11934575261020126      0.12718569217369427      0.13304574634293406
0.2396315119961705        0                        0.23952831802986285      0.2386014494290087       0.2295321412987021       0.16499613318923467      0.12346146157683756      0.1302997615056211       0.13466152445270876
0                         0.3600000000000001       0                        0                        0                        0                        0                        0                        0
0.008819337473970026      0.35541976656533053      0.00881727973192375      0.008798886139372188     0.008627630128861613     0.008092322238237684     0.014746445496087725     0.030462769318917126     0.05579775940769046
0                         0.3700000000000001       0                        0                        0                        0                        0                        0                        0
0.0089073216897713        0.36557449512604695      0.008905374732469018     0.008887979949319504     0.00872687228502274      0.00829619074113957      0.015355166066077968     0.03154525190673719      0.057567922088621444
0                         0.38000000000000006      0                        0                        0                        0                        0                        0                        0
0.009011546916696403      0.37564873718385966      0.009009713630934045     0.008993343847129976     0.008842666649681237     0.008520722833875831     0.016005256671252386     0.032697537335894374     0.059428396396020426
0                         0.39000000000000007      0                        0                        0                        0                        0                        0                        0
0.009100722082764084      0.38567558267332874      0.009099009022340364     0.009083722971226052     0.008944037998343061     0.00873381258158054      0.016632087279170274     0.033792719881902133     0.06123016590485401
0.009169336399732131      0.3956370665585322       0.009167753092351327     0.009153636197991049     0.009025764434710688     0.008931969087786483     0.017232228642822336     0.034821585105853224     0.06291734930184184
0                         0.4200000000000001       0                        0                        0                        0                        0                        0                        0
0.00918649744902545       0.41563442104638093      0.009185202714815764     0.009173683891312177     0.009071850332167735     0.009217722362030624     0.01821184951842197      0.03641840582999666      0.06554955973691325
0                         0.43000000000000005      0                        0                        0                        0                        0                        0                        0
0.00919104752962269       0.42564926481623294      0.009189900789652832     0.009179714256288265     0.009091220554042911     0.009358811615328207     0.018693092081778703     0.03719175978577425      0.0668820046772992
0.24964102870991015       0.016202202803341947     0.24953405946330057      0.24857323379840604      0.23916704511709688      0.17195822217738946      0.12778981334208084      0.13408890455269765      0.13761895467687738
0.25965985722723406       0                        0.25954941431453404      0.25855732043049257      0.24883860634453994      0.1790034154711815       0.13175526351750733      0.13696831451239413      0.13912755245491423
0.26967221576278155       0.01620278681579413      0.269558182492406        0.268533780704908        0.258493186132257        0.18602014903176758      0.1359352572603514       0.14047390481255148      0.14165757026043793
0.27968820245829795       0                        0.27957091641320203      0.2785172188804802       0.26818227895927726      0.19313780696488114      0.13976130364151249      0.14314212606446347      0.14306513804857432
0                         0.44000000000000006      0                        0                        0                        0                        0                        0                        0
0.009189700148230649      0.4356947517781915       0.009188705738683666     0.009179890399430533     0.009105113032919084     0.00949677996121854      0.019167035908330327     0.03794775803309392      0.06819419152464283
0                         0.4500000000000001       0                        0                        0                        0                        0                        0                        0
