% Model:              buoyancy_free.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 10 2025, 17:41
% Dimension:          2
% Nodes:              4256
% Expressions:        14
% Description:        Velocity field, x-component, Velocity field, y-component
% Length unit:        m
% x                       y                        u (m/s) @ Ra=1           v (m/s) @ Ra=1           u (m/s) @ Ra=10          v (m/s) @ Ra=10          u (m/s) @ Ra=100         v (m/s) @ Ra=100         u (m/s) @ Ra=1000        v (m/s) @ Ra=1000        u (m/s) @ Ra=10000       v (m/s) @ Ra=10000       u (m/s) @ Ra=1E5         v (m/s) @ Ra=1E5         u (m/s) @ Ra=1E6         v (m/s) @ Ra=1E6
0                         0.13000000000000006      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.00853254031281725       0.1253566723908432       8.133505270979441E-6     -1.3963472345202983E-4   8.11923971158283E-5      -0.0013929075922961933   7.975867396011806E-4     -0.013588335861521845    0.0066941969885427185    -0.10891434395910911     0.04306840846729831      -0.7749604755983815      0.28003733258731334      -6.128263433536303       2.0807920282226178       -46.26163290381689
0.008809157029206045      0.13496869589431618      8.564934307282335E-6     -1.6300557259309572E-4   8.550795692300152E-5     -0.0016261927575138052   8.40832038598679E-4      -0.015878716802933998    0.007107093861496554     -0.12807412010547028     0.04527064244950612      -0.8997770192673364      0.29163706537262124      -6.96324270003982        2.151367076881605        -52.304153179949374
0                         0.14000000000000004      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008768652313920376      0.14486079396171955      8.672328155977566E-6     -1.8186989827378934E-4   8.659045976279469E-5     -0.0018145425907416942   8.524738084893286E-4     -0.01773256460899675     0.007264680156000417     -0.14384569912994263     0.04585026281046059      -0.9994525334543584      0.2917339899881108       -7.594845768726102       2.028427082879345        -56.760931889524606
0                         0.15000000000000005      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.05021862354317602       0.014184162004066247     3.798430077888433E-5     -1.1787326487960012E-5   3.7847531567100856E-4    -1.1753512575534581E-4   0.0036509071535972526    -0.0011420116752692226   0.02707189441382932      -0.00890724289673455     0.2299184428041002       -0.07013144272772022     2.5638124518854273       -0.6930970905647394      25.332033037446084       -6.506965294103796
0.059376728032910164      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
0.008650392914893685      0.1550051798798508       8.634231171902585E-6     -1.9930539197925615E-4   8.621755225526591E-5     -0.001988657706955747    8.495309560058903E-4     -0.019449333046687913    0.007287200832776056     -0.15863062437992229     0.04590388727208514      -1.0914867838744982      0.2947059280042526       -8.16425257041391        2.0706664703342255       -60.55746297807382
0                         0.16000000000000003      0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
